[2026-04-16 16:41:47.195 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #50 ReqTime:"2026-04-16T16:41:47.1933056+05:30" Duration:1ms
[2026-04-16 16:41:47.200 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #51 ReqTime:"2026-04-16T16:41:47.1981721+05:30" Duration:1ms
[2026-04-16 16:41:47.205 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #52 ReqTime:"2026-04-16T16:41:47.2029347+05:30" Duration:1ms
[2026-04-16 16:41:47.210 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #53 ReqTime:"2026-04-16T16:41:47.2083957+05:30" Duration:1ms
[2026-04-16 16:41:47.215 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #54 ReqTime:"2026-04-16T16:41:47.2128873+05:30" Duration:1ms
[2026-04-16 16:41:47.219 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #55 ReqTime:"2026-04-16T16:41:47.2172815+05:30" Duration:1ms
[2026-04-16 16:41:47.226 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #56 ReqTime:"2026-04-16T16:41:47.2221829+05:30" Duration:1ms
[2026-04-16 16:41:47.239 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #57 ReqTime:"2026-04-16T16:41:47.2318082+05:30" Duration:4ms
[2026-04-16 16:41:47.247 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #58 ReqTime:"2026-04-16T16:41:47.2433531+05:30" Duration:3ms
[2026-04-16 16:41:47.253 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #59 ReqTime:"2026-04-16T16:41:47.2503588+05:30" Duration:1ms
[2026-04-16 16:41:47.261 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #60 ReqTime:"2026-04-16T16:41:47.2579546+05:30" Duration:2ms
[2026-04-16 16:41:47.266 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #61 ReqTime:"2026-04-16T16:41:47.2639184+05:30" Duration:1ms
[2026-04-16 16:41:47.271 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #62 ReqTime:"2026-04-16T16:41:47.2688855+05:30" Duration:1ms
[2026-04-16 16:41:47.276 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #63 ReqTime:"2026-04-16T16:41:47.2737716+05:30" Duration:1ms
[2026-04-16 16:41:47.281 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #64 ReqTime:"2026-04-16T16:41:47.2787030+05:30" Duration:1ms
[2026-04-16 16:41:47.285 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #65 ReqTime:"2026-04-16T16:41:47.2833825+05:30" Duration:1ms
[2026-04-16 16:41:47.290 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #66 ReqTime:"2026-04-16T16:41:47.2882338+05:30" Duration:1ms
[2026-04-16 16:41:47.295 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #67 ReqTime:"2026-04-16T16:41:47.2933061+05:30" Duration:1ms
[2026-04-16 16:41:47.300 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #68 ReqTime:"2026-04-16T16:41:47.2982031+05:30" Duration:1ms
[2026-04-16 16:41:47.305 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #69 ReqTime:"2026-04-16T16:41:47.3032948+05:30" Duration:1ms
[2026-04-16 16:41:47.311 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #70 ReqTime:"2026-04-16T16:41:47.3084438+05:30" Duration:1ms
[2026-04-16 16:41:47.315 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #71 ReqTime:"2026-04-16T16:41:47.3132577+05:30" Duration:1ms
[2026-04-16 16:41:47.320 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #72 ReqTime:"2026-04-16T16:41:47.3175634+05:30" Duration:1ms
[2026-04-16 16:41:47.325 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #73 ReqTime:"2026-04-16T16:41:47.3228986+05:30" Duration:1ms
[2026-04-16 16:41:47.330 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #74 ReqTime:"2026-04-16T16:41:47.3282866+05:30" Duration:1ms
[2026-04-16 16:41:47.335 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #75 ReqTime:"2026-04-16T16:41:47.3328067+05:30" Duration:1ms
[2026-04-16 16:41:47.340 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #76 ReqTime:"2026-04-16T16:41:47.3379432+05:30" Duration:1ms
[2026-04-16 16:41:47.345 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #77 ReqTime:"2026-04-16T16:41:47.3432674+05:30" Duration:1ms
[2026-04-16 16:41:47.350 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #78 ReqTime:"2026-04-16T16:41:47.3478548+05:30" Duration:1ms
[2026-04-16 16:41:47.354 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #79 ReqTime:"2026-04-16T16:41:47.3522938+05:30" Duration:1ms
[2026-04-16 16:41:47.359 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #80 ReqTime:"2026-04-16T16:41:47.3573054+05:30" Duration:1ms
[2026-04-16 16:41:47.363 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #81 ReqTime:"2026-04-16T16:41:47.3616940+05:30" Duration:1ms
[2026-04-16 16:41:47.367 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #82 ReqTime:"2026-04-16T16:41:47.3657752+05:30" Duration:0ms
[2026-04-16 16:41:47.372 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #83 ReqTime:"2026-04-16T16:41:47.3703227+05:30" Duration:1ms
