22-04-2026 16:19:15.105 | INFO  | [PROGRAM] Starting 16 device simulator(s) | Server=http://localhost:5000/api/
22-04-2026 16:19:26.244 | INFO  | [00:1B:09:00:00:55] ACK | SUCCESS | IDs=41033
22-04-2026 16:19:29.312 | INFO  | [00:1B:09:00:00:55] POLL | DATA | Count=1 TotalPending=5886 IDs=41034
22-04-2026 16:19:29.404 | INFO  | [00:1B:09:00:00:55] ACK | SUCCESS | IDs=41034
22-04-2026 16:19:32.444 | INFO  | [00:1B:09:00:00:55] POLL | DATA | Count=1 TotalPending=5885 IDs=41035
22-04-2026 16:19:32.466 | INFO  | [00:1B:09:00:00:55] ACK | SUCCESS | IDs=41035
22-04-2026 16:19:35.504 | INFO  | [00:1B:09:00:00:55] POLL | DATA | Count=1 TotalPending=5884 IDs=41036
22-04-2026 16:19:35.539 | INFO  | [00:1B:09:00:00:55] ACK | SUCCESS | IDs=41036
22-04-2026 16:19:38.580 | INFO  | [00:1B:09:00:00:55] POLL | DATA | Count=1 TotalPending=5883 IDs=41037
22-04-2026 16:19:38.623 | INFO  | [00:1B:09:00:00:55] ACK | SUCCESS | IDs=41037
22-04-2026 16:19:41.645 | INFO  | [00:1B:09:00:00:55] POLL | DATA | Count=1 TotalPending=5882 IDs=41038
22-04-2026 16:19:41.658 | INFO  | [00:1B:09:00:00:55] ACK | SUCCESS | IDs=41038
22-04-2026 16:19:47.470 | INFO  | [PROGRAM] Ctrl+C received — initiating graceful shutdown...
22-04-2026 16:19:47.747 | INFO  | [PROGRAM] Ctrl+C received — initiating graceful shutdown...
22-04-2026 16:19:47.966 | INFO  | [PROGRAM] Ctrl+C received — initiating graceful shutdown...
22-04-2026 16:19:48.308 | INFO  | [PROGRAM] Ctrl+C received — initiating graceful shutdown...
22-04-2026 16:19:48.693 | INFO  | [PROGRAM] Ctrl+C received — initiating graceful shutdown...
22-04-2026 16:19:48.724 | INFO  | [00:1B:09:00:00:55] RUN | All loops exited
